Date,Open,High,Low,Close,Adj Close,Volume
2005-09-09,168.875000,176.750000,168.875000,173.994995,104.112267,3741776
2005-09-12,178.625000,204.750000,175.811996,178.774994,106.972450,6631072
2005-09-13,178.875000,178.875000,176.324997,177.800003,106.388985,2244984
2005-09-14,177.500000,178.375000,173.375000,175.020004,104.725571,3890080
2005-09-15,175.250000,181.845001,175.250000,181.238007,108.446236,11040736
2005-09-16,181.845001,184.712006,179.524994,182.199997,109.021843,5480184
2005-09-19,184.712006,185.000000,180.375000,181.770004,108.764511,2877448
2005-09-20,181.875000,185.000000,177.500000,183.807007,109.983406,6293424
2005-09-21,184.250000,184.500000,175.000000,181.707993,108.727409,6215320
2005-09-22,184.500000,185.875000,174.625000,175.182007,104.822525,6482408
2005-09-23,175.044998,178.725006,175.044998,176.557007,105.645287,3815824
2005-09-26,177.500000,184.125000,177.000000,183.238007,109.642929,2290048
2005-09-27,184.375000,185.125000,180.787994,182.787994,109.373665,6404008
2005-09-28,183.000000,184.363007,180.875000,183.688004,109.912193,5900064
2005-09-29,185.000000,186.800003,183.125000,184.106995,110.162918,8421888
2005-09-30,185.000000,186.475006,183.033005,185.294998,110.873772,4982976
2005-10-03,181.925003,188.113007,181.925003,187.238007,112.036346,4472520
2005-10-04,187.475006,187.750000,185.412994,186.220001,111.427269,6350472
2005-10-05,185.500000,186.125000,183.125000,183.750000,109.949310,6577720
2005-10-06,183.132996,183.132996,177.145004,178.082993,106.558342,8233792
2005-10-07,178.125000,181.750000,176.899994,180.600006,108.064468,6206624
2005-10-10,181.225006,184.375000,180.412994,181.061996,108.340935,5371728
2005-10-11,182.500000,184.350006,177.750000,183.470001,109.781822,11565120
2005-10-13,183.750000,185.625000,178.794998,180.162994,107.802986,13605792
2005-10-14,181.250000,181.500000,176.875000,178.007996,106.513451,5226192
2005-10-17,178.750000,180.250000,177.988007,179.270004,107.268646,4388816
2005-10-18,180.250000,183.100006,178.886993,180.119995,109.611511,10941600
2005-10-19,182.494995,182.500000,171.520004,175.199997,106.617477,10058832
2005-10-20,176.886993,179.375000,173.882996,177.044998,107.740219,6352952
2005-10-21,178.625000,179.600006,176.125000,178.533005,108.645752,5923416
2005-10-24,179.024994,180.500000,175.132996,175.938004,107.066574,3149632
2005-10-25,177.294998,181.375000,176.061996,180.000000,109.538521,5420312
2005-10-26,180.000000,180.625000,177.386993,177.783005,108.189369,4142808
2005-10-27,177.875000,178.613007,173.750000,175.162994,106.594978,6771944
2005-10-28,176.125000,176.125000,169.375000,170.270004,103.617348,4501496
2005-10-31,170.625000,176.000000,170.044998,175.158005,106.591927,2851968
2005-11-02,175.162994,179.500000,173.550003,178.625000,108.701752,2852888
2005-11-04,null,null,null,null,null,null
2005-11-07,176.000000,183.462006,176.000000,183.095001,111.421959,4188480
2005-11-08,184.250000,185.533005,183.800003,184.625000,112.353012,5782184
2005-11-09,184.625000,185.382996,181.283005,182.100006,110.816498,5000792
2005-11-10,182.125000,184.613007,182.125000,183.720001,111.802315,3095696
2005-11-11,183.125000,186.000000,183.125000,185.332993,112.783890,5919888
2005-11-14,186.250000,189.332993,186.250000,188.787994,114.886406,8040360
2005-11-16,188.908005,189.625000,187.783005,188.962006,114.992340,6742576
2005-11-17,187.500000,189.750000,186.557007,188.457993,114.685600,4878464
2005-11-18,189.000000,191.375000,189.000000,190.869995,116.153488,8707720
2005-11-21,191.175003,192.337006,188.250000,189.832993,115.522339,6597336
2005-11-22,189.250000,190.600006,186.000000,187.481995,114.091644,4751000
2005-11-23,187.500000,190.250000,187.375000,189.582993,115.370239,6054776
2005-11-24,189.500000,191.649994,189.500000,190.533005,115.948357,4544088
2005-11-25,190.533005,192.500000,188.794998,191.712006,116.665871,3344264
2005-11-28,192.350006,193.750000,192.000000,193.457993,117.728348,2535248
2005-11-29,193.100006,193.750000,190.070007,193.169998,117.553108,3303424
2005-11-30,191.500000,194.061996,189.375000,190.136993,115.707336,4023376
2005-12-01,190.000000,194.332993,189.845001,193.761993,117.913338,4161968
2005-12-02,194.332993,196.800003,192.632996,193.750000,117.906036,4784360
2005-12-05,194.000000,194.261993,190.783005,191.419998,116.488106,1913080
2005-12-06,191.875000,196.250000,190.787994,194.250000,118.210297,3233064
2005-12-07,195.250000,200.000000,195.037994,199.445007,121.371742,5618952
2005-12-08,199.375000,203.087006,199.033005,202.070007,122.969177,9585192
2005-12-09,202.250000,211.824997,201.412994,210.337006,128.000015,6194224
2005-12-12,206.294998,213.125000,205.250000,206.274994,125.528046,6191488
2005-12-13,206.500000,209.750000,205.625000,208.449997,126.851685,6027072
2005-12-14,207.500000,212.500000,205.000000,210.488007,128.091919,4819208
2005-12-15,211.238007,212.311996,208.550003,210.350006,128.007935,4249016
2005-12-16,211.250000,215.750000,210.375000,214.300003,130.411667,7907432
2005-12-19,215.750000,219.125000,214.625000,216.820007,131.945251,4701168
2005-12-20,218.750000,218.750000,210.875000,211.688004,128.822144,4628568
2005-12-21,213.125000,214.324997,208.875000,210.761993,128.258636,3282432
2005-12-22,211.250000,212.462006,209.869995,210.587006,128.152130,2519208
2005-12-23,210.875000,213.125000,208.125000,208.970001,127.168106,2455032
2005-12-26,209.250000,209.250000,207.033005,207.863007,126.494530,1625280
2005-12-27,207.845001,212.875000,205.375000,212.270004,129.176361,1565208
2005-12-28,211.875000,213.750000,209.582993,210.707993,128.225739,2582056
2005-12-29,211.250000,214.988007,210.207993,213.757996,130.081848,3461784
2005-12-30,210.000000,214.988007,210.000000,212.856995,129.533569,2380248
2006-01-02,213.500000,213.863007,210.169998,210.949997,128.373077,1653504
2006-01-03,210.658005,217.494995,210.250000,216.649994,131.841766,3396936
2006-01-04,217.500000,218.738007,215.274994,217.886993,132.594528,3545616
2006-01-05,218.125000,218.250000,215.238007,216.544998,131.777832,1431824
2006-01-06,216.875000,217.488007,211.500000,213.199997,129.742279,2965744
2006-01-09,213.770004,216.250000,210.125000,211.119995,128.476517,3883272
2006-01-10,211.250000,212.475006,207.625000,209.061996,127.224052,3972648
2006-01-12,206.625000,211.125000,201.875000,209.212006,127.315407,13919696
2006-01-13,210.000000,211.250000,205.500000,206.470001,125.646759,3608568
2006-01-16,206.375000,206.375000,200.320007,201.095001,122.375809,4804912
2006-01-17,201.375000,205.000000,201.250000,202.925003,123.489433,3753056
2006-01-18,202.274994,202.975006,200.261993,202.445007,125.045959,3165120
2006-01-19,202.975006,206.837006,202.975006,206.294998,127.424110,3574728
2006-01-20,206.875000,208.731995,204.375000,205.500000,126.933052,3294240
2006-01-23,204.375000,204.375000,201.412994,202.770004,125.246788,2280272
2006-01-24,204.375000,206.125000,203.800003,205.324997,126.824905,1890064
2006-01-25,206.125000,207.494995,205.438004,206.399994,127.488937,6365736
2006-01-27,210.000000,210.000000,206.324997,207.395004,128.103516,3003816
2006-01-30,208.175003,209.949997,206.511993,207.363007,128.083801,1383144
2006-01-31,209.949997,209.949997,206.544998,208.800003,128.971359,1503160
2006-02-01,207.000000,209.750000,206.300003,208.332993,128.682953,3896696
2006-02-02,208.750000,209.500000,203.707993,204.600006,126.377113,3135736
2006-02-03,204.988007,205.975006,201.550003,203.850006,125.913864,4357520
2006-02-06,203.738007,210.375000,203.294998,209.882996,129.640289,2894976
2006-02-07,210.000000,211.688004,205.533005,209.261993,129.256729,7002784
2006-02-08,208.250000,209.011993,206.544998,207.811996,128.361084,3332648
2006-02-10,208.770004,209.750000,205.632996,208.699997,128.909637,2728200
2006-02-13,208.699997,208.750000,206.000000,206.375000,127.473495,2020544
2006-02-14,208.750000,208.750000,201.750000,202.320007,124.968773,6962064
2006-02-15,205.988007,205.988007,200.625000,202.419998,125.030556,4209320
2006-02-16,203.125000,204.975006,201.500000,203.645004,125.787239,5284488
2006-02-17,206.250000,207.050003,202.500000,203.125000,125.466064,2923448
2006-02-20,204.875000,206.875000,203.425003,206.231995,127.385178,2643608
2006-02-21,206.875000,208.875000,206.386993,208.250000,128.631577,2301240
2006-02-22,208.750000,208.750000,206.412994,207.731995,128.311630,1156592
2006-02-23,207.500000,211.238007,207.500000,208.820007,128.983719,4141584
2006-02-24,208.783005,210.000000,207.037994,208.757996,128.945435,1097336
2006-02-27,208.375000,211.875000,208.300003,211.294998,130.512451,2521112
2006-02-28,211.875000,213.000000,208.750000,212.600006,131.318527,2821744
2006-03-01,212.500000,218.175003,210.908005,217.524994,134.360580,4506152
2006-03-02,218.175003,219.250000,215.044998,217.725006,134.484085,3277696
2006-03-03,217.750000,217.750000,212.169998,213.220001,131.701553,2124440
2006-03-06,214.500000,219.125000,213.750000,218.037994,134.677475,3631584
2006-03-07,217.520004,218.750000,215.000000,215.587006,133.163574,1985168
2006-03-08,216.500000,217.500000,213.125000,215.320007,132.998627,3813488
